Retailer,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Method
0,0,0,0,0,50,1200,600000,300000,0.5,0
0,0,0,0,1,50,1000,500000,150000,0.3,0
0,0,0,0,2,40,1000,400000,140000,0.35,0
0,0,0,0,3,45,850,382500,133875,0.35,0
0,0,0,0,4,60,900,540000,162000,0.3,0
0,0,0,0,5,50,1000,500000,125000,0.25,0
0,0,0,0,0,50,1250,625000,312500,0.5,0
0,0,0,0,1,50,900,450000,135000,0.3,1
0,0,0,0,2,40,950,380000,133000,0.35,1
0,0,0,0,3,45,825,371250,129937,0.35,1
0,0,0,0,4,60,900,540000,162000,0.3,1
0,0,0,0,5,50,1000,500000,125000,0.25,1
0,0,0,0,0,50,1220,610000,305000,0.5,1
0,0,0,0,1,50,925,462500,138750,0.3,1
0,0,0,0,2,40,950,380000,133000,0.35,1
0,0,0,0,3,45,800,360000,125999,0.35,1
0,0,0,0,4,60,850,510000,153000,0.3,1
0,0,0,0,5,50,950,475000,118750,0.25,1
0,0,0,0,0,50,1200,600000,300000,0.5,1
0,0,0,0,1,50,900,450000,135000,0.3,1
0,0,0,0,2,40,900,360000,125999,0.35,1
0,0,0,0,3,45,825,371250,129937,0.35,1
0,0,0,0,4,60,825,495000,148500,0.3,1
0,0,0,0,5,50,950,475000,118750,0.25,1
0,0,0,0,0,60,1220,732000,366000,0.5,1
0,0,0,0,1,55,925,508750,152625,0.3,1
0,0,0,0,2,50,900,450000,157500,0.35,1
0,0,0,0,3,50,850,425000,148750,0.35,1
0,0,0,0,4,60,875,525000,157500,0.3,1
0,0,0,0,5,65,1000,650000,162500,0.25,1
0,0,0,0,0,60,1250,750000,375000,0.5,1
0,0,0,0,1,55,1000,550000,165000,0.3,1
0,0,0,0,2,50,925,462500,161875,0.35,1
0,0,0,0,3,50,900,450000,157500,0.35,1
0,0,0,0,4,60,900,540000,162000,0.3,1
0,0,0,0,5,65,1050,682500,170625,0.25,1
0,0,0,0,0,60,1275,765000,382500,0.5,1
0,0,0,0,1,55,1025,563750,169125,0.3,1
0,0,0,0,2,50,950,475000,166250,0.35,1
0,0,0,0,3,50,900,450000,157500,0.35,1
0,0,0,0,4,60,925,555000,166500,0.3,1
0,0,0,0,5,65,1100,715000,178750,0.25,1
0,0,0,0,0,60,1250,750000,375000,0.5,1
0,0,0,0,1,55,1025,563750,169125,0.3,1
0,0,0,0,2,50,950,475000,166250,0.35,1
0,0,0,0,3,50,925,462500,161875,0.35,1
1,0,0,0,4,60,900,540000,162000,0.3,1
1,0,0,0,5,65,1075,698750,174687,0.25,1
1,0,0,0,0,60,1200,720000,360000,0.5,1
1,0,0,0,1,55,1000,550000,165000,0.3,1
1,0,0,0,2,50,925,462500,161875,0.35,1
1,0,0,0,3,50,900,450000,157500,0.35,1
1,0,0,0,4,60,900,540000,162000,0.3,1
1,0,0,0,5,65,1000,650000,162500,0.25,1
1,0,0,0,4,65,875,568750,170625,0.3,1
1,0,0,0,5,70,1000,700000,175000,0.25,1
1,0,0,0,0,65,1150,747500,373750,0.5,1
1,0,0,0,1,55,975,536250,160875,0.3,1
1,0,0,0,2,55,920,506000,177100,0.35,1
